lat,lon,Location,Year,Month,Day,Predicted Sunshine
22.1785,90.7101,bhola,2025,3,1,6.6
22.1785,90.7101,bhola,2025,3,2,7
22.1785,90.7101,bhola,2025,3,3,7.8
22.1785,90.7101,bhola,2025,3,4,7.6
22.1785,90.7101,bhola,2025,3,5,8
22.1785,90.7101,bhola,2025,3,6,8
22.1785,90.7101,bhola,2025,3,7,7.7
22.1785,90.7101,bhola,2025,3,8,2.8
22.1785,90.7101,bhola,2025,3,9,2.2
22.1785,90.7101,bhola,2025,3,10,-0.9
22.1785,90.7101,bhola,2025,3,11,3.6
22.1785,90.7101,bhola,2025,3,12,6.6
22.1785,90.7101,bhola,2025,3,13,7.1
22.1785,90.7101,bhola,2025,3,14,2.4
22.1785,90.7101,bhola,2025,3,15,0
22.1785,90.7101,bhola,2025,3,16,-0.9
22.1785,90.7101,bhola,2025,3,17,-1.6
22.1785,90.7101,bhola,2025,3,18,-0.8
22.1785,90.7101,bhola,2025,3,19,-2.3
22.1785,90.7101,bhola,2025,3,20,0.8
22.1785,90.7101,bhola,2025,3,21,3.9
22.1785,90.7101,bhola,2025,3,22,7.1
22.1785,90.7101,bhola,2025,3,23,4.2
22.1785,90.7101,bhola,2025,3,24,6.9
22.1785,90.7101,bhola,2025,3,25,6.2
22.1785,90.7101,bhola,2025,3,26,6.6
22.1785,90.7101,bhola,2025,3,27,-0.2
22.1785,90.7101,bhola,2025,3,28,4.8
22.1785,90.7101,bhola,2025,3,29,4.5
22.1785,90.7101,bhola,2025,3,30,2.2
22.1785,90.7101,bhola,2025,3,31,0.6
23.1634,89.2182,jessore,2025,3,1,6.6
23.1634,89.2182,jessore,2025,3,2,7
23.1634,89.2182,jessore,2025,3,3,7.8
23.1634,89.2182,jessore,2025,3,4,7.6
23.1634,89.2182,jessore,2025,3,5,8
23.1634,89.2182,jessore,2025,3,6,8
23.1634,89.2182,jessore,2025,3,7,7.7
23.1634,89.2182,jessore,2025,3,8,2.8
23.1634,89.2182,jessore,2025,3,9,2.2
23.1634,89.2182,jessore,2025,3,10,-0.9
23.1634,89.2182,jessore,2025,3,11,3.6
23.1634,89.2182,jessore,2025,3,12,6.6
23.1634,89.2182,jessore,2025,3,13,7.1
23.1634,89.2182,jessore,2025,3,14,2.4
23.1634,89.2182,jessore,2025,3,15,0
23.1634,89.2182,jessore,2025,3,16,-0.9
23.1634,89.2182,jessore,2025,3,17,-1.6
23.1634,89.2182,jessore,2025,3,18,-0.8
23.1634,89.2182,jessore,2025,3,19,-2.3
23.1634,89.2182,jessore,2025,3,20,0.8
23.1634,89.2182,jessore,2025,3,21,3.9
23.1634,89.2182,jessore,2025,3,22,7.1
23.1634,89.2182,jessore,2025,3,23,4.2
23.1634,89.2182,jessore,2025,3,24,6.9
23.1634,89.2182,jessore,2025,3,25,6.2
23.1634,89.2182,jessore,2025,3,26,6.6
23.1634,89.2182,jessore,2025,3,27,-0.2
23.1634,89.2182,jessore,2025,3,28,4.8
23.1634,89.2182,jessore,2025,3,29,4.5
23.1634,89.2182,jessore,2025,3,30,2.2
23.1634,89.2182,jessore,2025,3,31,0.6
22.3811,90.3372,khepupara,2025,3,1,6.6
22.3811,90.3372,khepupara,2025,3,2,7
22.3811,90.3372,khepupara,2025,3,3,7.8
22.3811,90.3372,khepupara,2025,3,4,7.6
22.3811,90.3372,khepupara,2025,3,5,8
22.3811,90.3372,khepupara,2025,3,6,8
22.3811,90.3372,khepupara,2025,3,7,7.7
22.3811,90.3372,khepupara,2025,3,8,2.8
22.3811,90.3372,khepupara,2025,3,9,2.2
22.3811,90.3372,khepupara,2025,3,10,-0.9
22.3811,90.3372,khepupara,2025,3,11,3.6
22.3811,90.3372,khepupara,2025,3,12,6.6
22.3811,90.3372,khepupara,2025,3,13,7.1
22.3811,90.3372,khepupara,2025,3,14,2.4
22.3811,90.3372,khepupara,2025,3,15,0
22.3811,90.3372,khepupara,2025,3,16,-0.9
22.3811,90.3372,khepupara,2025,3,17,-1.6
22.3811,90.3372,khepupara,2025,3,18,-0.8
22.3811,90.3372,khepupara,2025,3,19,-2.3
22.3811,90.3372,khepupara,2025,3,20,0.8
22.3811,90.3372,khepupara,2025,3,21,3.9
22.3811,90.3372,khepupara,2025,3,22,7.1
22.3811,90.3372,khepupara,2025,3,23,4.2
22.3811,90.3372,khepupara,2025,3,24,6.9
22.3811,90.3372,khepupara,2025,3,25,6.2
22.3811,90.3372,khepupara,2025,3,26,6.6
22.3811,90.3372,khepupara,2025,3,27,-0.2
22.3811,90.3372,khepupara,2025,3,28,4.8
22.3811,90.3372,khepupara,2025,3,29,4.5
22.3811,90.3372,khepupara,2025,3,30,2.2
22.3811,90.3372,khepupara,2025,3,31,0.6
22.6738,89.3967,khulna,2025,3,1,6.6
22.6738,89.3967,khulna,2025,3,2,7
22.6738,89.3967,khulna,2025,3,3,7.8
22.6738,89.3967,khulna,2025,3,4,7.6
22.6738,89.3967,khulna,2025,3,5,8
22.6738,89.3967,khulna,2025,3,6,8
22.6738,89.3967,khulna,2025,3,7,7.7
22.6738,89.3967,khulna,2025,3,8,2.8
22.6738,89.3967,khulna,2025,3,9,2.2
22.6738,89.3967,khulna,2025,3,10,-0.9
22.6738,89.3967,khulna,2025,3,11,3.6
22.6738,89.3967,khulna,2025,3,12,6.6
22.6738,89.3967,khulna,2025,3,13,7.1
22.6738,89.3967,khulna,2025,3,14,2.4
22.6738,89.3967,khulna,2025,3,15,0
22.6738,89.3967,khulna,2025,3,16,-0.9
22.6738,89.3967,khulna,2025,3,17,-1.6
22.6738,89.3967,khulna,2025,3,18,-0.8
22.6738,89.3967,khulna,2025,3,19,-2.3
22.6738,89.3967,khulna,2025,3,20,0.8
22.6738,89.3967,khulna,2025,3,21,3.9
22.6738,89.3967,khulna,2025,3,22,7.1
22.6738,89.3967,khulna,2025,3,23,4.2
22.6738,89.3967,khulna,2025,3,24,6.9
22.6738,89.3967,khulna,2025,3,25,6.2
22.6738,89.3967,khulna,2025,3,26,6.6
22.6738,89.3967,khulna,2025,3,27,-0.2
22.6738,89.3967,khulna,2025,3,28,4.8
22.6738,89.3967,khulna,2025,3,29,4.5
22.6738,89.3967,khulna,2025,3,30,2.2
22.6738,89.3967,khulna,2025,3,31,0.6
22.4833,89.6083,mongla,2025,3,1,6.6
22.4833,89.6083,mongla,2025,3,2,7
22.4833,89.6083,mongla,2025,3,3,7.8
22.4833,89.6083,mongla,2025,3,4,7.6
22.4833,89.6083,mongla,2025,3,5,8
22.4833,89.6083,mongla,2025,3,6,8
22.4833,89.6083,mongla,2025,3,7,7.7
22.4833,89.6083,mongla,2025,3,8,2.8
22.4833,89.6083,mongla,2025,3,9,2.2
22.4833,89.6083,mongla,2025,3,10,-0.9
22.4833,89.6083,mongla,2025,3,11,3.6
22.4833,89.6083,mongla,2025,3,12,6.6
22.4833,89.6083,mongla,2025,3,13,7.1
22.4833,89.6083,mongla,2025,3,14,2.4
22.4833,89.6083,mongla,2025,3,15,0
22.4833,89.6083,mongla,2025,3,16,-0.9
22.4833,89.6083,mongla,2025,3,17,-1.6
22.4833,89.6083,mongla,2025,3,18,-0.8
22.4833,89.6083,mongla,2025,3,19,-2.3
22.4833,89.6083,mongla,2025,3,20,0.8
22.4833,89.6083,mongla,2025,3,21,3.9
22.4833,89.6083,mongla,2025,3,22,7.1
22.4833,89.6083,mongla,2025,3,23,4.2
22.4833,89.6083,mongla,2025,3,24,6.9
22.4833,89.6083,mongla,2025,3,25,6.2
22.4833,89.6083,mongla,2025,3,26,6.6
22.4833,89.6083,mongla,2025,3,27,-0.2
22.4833,89.6083,mongla,2025,3,28,4.8
22.4833,89.6083,mongla,2025,3,29,4.5
22.4833,89.6083,mongla,2025,3,30,2.2
22.4833,89.6083,mongla,2025,3,31,0.6
22.2249,90.4548,patuakhali,2025,3,1,6.6
22.2249,90.4548,patuakhali,2025,3,2,7
22.2249,90.4548,patuakhali,2025,3,3,7.8
22.2249,90.4548,patuakhali,2025,3,4,7.6
22.2249,90.4548,patuakhali,2025,3,5,8
22.2249,90.4548,patuakhali,2025,3,6,8
22.2249,90.4548,patuakhali,2025,3,7,7.7
22.2249,90.4548,patuakhali,2025,3,8,2.8
22.2249,90.4548,patuakhali,2025,3,9,2.2
22.2249,90.4548,patuakhali,2025,3,10,-0.9
22.2249,90.4548,patuakhali,2025,3,11,3.6
22.2249,90.4548,patuakhali,2025,3,12,6.6
22.2249,90.4548,patuakhali,2025,3,13,7.1
22.2249,90.4548,patuakhali,2025,3,14,2.4
22.2249,90.4548,patuakhali,2025,3,15,0
22.2249,90.4548,patuakhali,2025,3,16,-0.9
22.2249,90.4548,patuakhali,2025,3,17,-1.6
22.2249,90.4548,patuakhali,2025,3,18,-0.8
22.2249,90.4548,patuakhali,2025,3,19,-2.3
22.2249,90.4548,patuakhali,2025,3,20,0.8
22.2249,90.4548,patuakhali,2025,3,21,3.9
22.2249,90.4548,patuakhali,2025,3,22,7.1
22.2249,90.4548,patuakhali,2025,3,23,4.2
22.2249,90.4548,patuakhali,2025,3,24,6.9
22.2249,90.4548,patuakhali,2025,3,25,6.2
22.2249,90.4548,patuakhali,2025,3,26,6.6
22.2249,90.4548,patuakhali,2025,3,27,-0.2
22.2249,90.4548,patuakhali,2025,3,28,4.8
22.2249,90.4548,patuakhali,2025,3,29,4.5
22.2249,90.4548,patuakhali,2025,3,30,2.2
22.2249,90.4548,patuakhali,2025,3,31,0.6
22.3155,89.1115,satkhira,2025,3,1,6.6
22.3155,89.1115,satkhira,2025,3,2,7
22.3155,89.1115,satkhira,2025,3,3,7.8
22.3155,89.1115,satkhira,2025,3,4,7.6
22.3155,89.1115,satkhira,2025,3,5,8
22.3155,89.1115,satkhira,2025,3,6,8
22.3155,89.1115,satkhira,2025,3,7,7.7
22.3155,89.1115,satkhira,2025,3,8,2.8
22.3155,89.1115,satkhira,2025,3,9,2.2
22.3155,89.1115,satkhira,2025,3,10,-0.9
22.3155,89.1115,satkhira,2025,3,11,3.6
22.3155,89.1115,satkhira,2025,3,12,6.6
22.3155,89.1115,satkhira,2025,3,13,7.1
22.3155,89.1115,satkhira,2025,3,14,2.4
22.3155,89.1115,satkhira,2025,3,15,0
22.3155,89.1115,satkhira,2025,3,16,-0.9
22.3155,89.1115,satkhira,2025,3,17,-1.6
22.3155,89.1115,satkhira,2025,3,18,-0.8
22.3155,89.1115,satkhira,2025,3,19,-2.3
22.3155,89.1115,satkhira,2025,3,20,0.8
22.3155,89.1115,satkhira,2025,3,21,3.9
22.3155,89.1115,satkhira,2025,3,22,7.1
22.3155,89.1115,satkhira,2025,3,23,4.2
22.3155,89.1115,satkhira,2025,3,24,6.9
22.3155,89.1115,satkhira,2025,3,25,6.2
22.3155,89.1115,satkhira,2025,3,26,6.6
22.3155,89.1115,satkhira,2025,3,27,-0.2
22.3155,89.1115,satkhira,2025,3,28,4.8
22.3155,89.1115,satkhira,2025,3,29,4.5
22.3155,89.1115,satkhira,2025,3,30,2.2
22.3155,89.1115,satkhira,2025,3,31,0.6
22.1785,90.7101,bhola,2025,4,1,0.2
22.1785,90.7101,bhola,2025,4,2,6.7
22.1785,90.7101,bhola,2025,4,3,7.8
22.1785,90.7101,bhola,2025,4,4,7.9
22.1785,90.7101,bhola,2025,4,5,6.7
22.1785,90.7101,bhola,2025,4,6,7.6
22.1785,90.7101,bhola,2025,4,7,7
22.1785,90.7101,bhola,2025,4,8,7.9
22.1785,90.7101,bhola,2025,4,9,7.5
22.1785,90.7101,bhola,2025,4,10,7.4
22.1785,90.7101,bhola,2025,4,11,6.4
22.1785,90.7101,bhola,2025,4,12,7.5
22.1785,90.7101,bhola,2025,4,13,8.3
22.1785,90.7101,bhola,2025,4,14,7.9
22.1785,90.7101,bhola,2025,4,15,7.4
22.1785,90.7101,bhola,2025,4,16,6.4
22.1785,90.7101,bhola,2025,4,17,6.7
22.1785,90.7101,bhola,2025,4,18,6.4
22.1785,90.7101,bhola,2025,4,19,6.4
22.1785,90.7101,bhola,2025,4,20,5.9
22.1785,90.7101,bhola,2025,4,21,-0.4
22.1785,90.7101,bhola,2025,4,22,6.3
22.1785,90.7101,bhola,2025,4,23,-2.1
22.1785,90.7101,bhola,2025,4,24,4.5
22.1785,90.7101,bhola,2025,4,25,6.7
22.1785,90.7101,bhola,2025,4,26,6.6
22.1785,90.7101,bhola,2025,4,27,7.8
22.1785,90.7101,bhola,2025,4,28,5.7
22.1785,90.7101,bhola,2025,4,29,4.9
22.1785,90.7101,bhola,2025,4,30,3.6
23.1634,89.2182,jessore,2025,4,1,0.2
23.1634,89.2182,jessore,2025,4,2,6.7
23.1634,89.2182,jessore,2025,4,3,7.8
23.1634,89.2182,jessore,2025,4,4,7.9
23.1634,89.2182,jessore,2025,4,5,6.7
23.1634,89.2182,jessore,2025,4,6,7.6
23.1634,89.2182,jessore,2025,4,7,7
23.1634,89.2182,jessore,2025,4,8,7.9
23.1634,89.2182,jessore,2025,4,9,7.5
23.1634,89.2182,jessore,2025,4,10,7.4
23.1634,89.2182,jessore,2025,4,11,6.4
23.1634,89.2182,jessore,2025,4,12,7.5
23.1634,89.2182,jessore,2025,4,13,8.3
23.1634,89.2182,jessore,2025,4,14,7.9
23.1634,89.2182,jessore,2025,4,15,7.4
23.1634,89.2182,jessore,2025,4,16,6.4
23.1634,89.2182,jessore,2025,4,17,6.7
23.1634,89.2182,jessore,2025,4,18,6.4
23.1634,89.2182,jessore,2025,4,19,6.4
23.1634,89.2182,jessore,2025,4,20,5.9
23.1634,89.2182,jessore,2025,4,21,-0.4
23.1634,89.2182,jessore,2025,4,22,6.3
23.1634,89.2182,jessore,2025,4,23,-2.1
23.1634,89.2182,jessore,2025,4,24,4.5
23.1634,89.2182,jessore,2025,4,25,6.7
23.1634,89.2182,jessore,2025,4,26,6.6
